id,title,source,job_url,url_status,url_message
labor_timviec365_2066437,Tuyển Lái Xe,TimViec365,https://timviec365.vn/tuyen-lai-xe-p2066437.html,working,OK (200)
labor_timviec365_2065408,Nhân viên Giao hàng/ đóng hàng,TimViec365,https://timviec365.vn/nhan-vien-giao-hang-djong-hang-p2065408.html,working,OK (200)
labor_timviec365_2065387,Tuyển lái xe công ty,TimViec365,https://timviec365.vn/tuyen-lai-xe-cong-ty-p2065387.html,working,OK (200)
labor_timviec365_2065242,Nhân viên Lái xe Giao hàng,TimViec365,https://timviec365.vn/nhan-vien-lai-xe-giao-hang-p2065242.html,working,OK (200)
labor_timviec365_2065234,Lái xe tải hạng C,TimViec365,https://timviec365.vn/lai-xe-tai-hang-c-p2065234.html,working,OK (200)
labor_timviec365_2065209,Nhân viên lái xe cho Giám đốc và văn phòng,TimViec365,https://timviec365.vn/nhan-vien-lai-xe-cho-giam-djoc-va-van-phong-p2065209.html,working,OK (200)
labor_timviec365_2065931,Lái xe chở hàng,TimViec365,https://timviec365.vn/lai-xe-cho-hang-p2065931.html,working,OK (200)
labor_timviec365_2051273,TUYỂN DỤNG TÀI XẾ LÁI XE TẢI,TimViec365,https://timviec365.vn/tai-xe-lai-xe-tai-p2051273.html,working,OK (200)
labor_timviec365_2065012,tuyển nhân viên giao hàng siêu thi,TimViec365,https://timviec365.vn/tuyen-nhan-vien-giao-hang-sieu-thi-p2065012.html,working,OK (200)
labor_timviec365_2064917,Nhân Viên Giao Nhận - Đi Làm Ngay,TimViec365,https://timviec365.vn/nhan-vien-giao-nhan-dji-lam-sau-tet-p2064917.html,working,OK (200)
labor_timviec365_2064800,NHÂN VIÊN LÁI XE NÂNG,TimViec365,https://timviec365.vn/nhan-vien-lai-xe-nang-p2064800.html,working,OK (200)
labor_timviec365_2064491,Tuyển nhân viên lái xe,TimViec365,https://timviec365.vn/tuyen-nhan-vien-lai-xe-p2064491.html,working,OK (200)
